"STATION","NAME","DATE","ACSH","AWND","DAPR","FMTM","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF1","WDF2","WDF5","WSF1","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT14","WT16","WT18"
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-01",,,,,,,,"0.0",,,"-22","-31",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-02",,,,,,,,"0.0",,,"-17","-43",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-03",,,,,,,,"0.0",,,"-39","-47",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-04",,,,,,,,"0.0",,,"-44","-49",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-05",,,,,,,,"0.0",,,"-45","-50",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-06",,,,,,,,"0.0",,,"-42","-51",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-07",,,,,,,,"0.0",,,"-42","-50",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-08",,,,,,,,"0.0",,,"-49","-52",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-09",,,,,,,,"0.0",,,"-14","51",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-10",,,,,,,,"0.0",,,"-3","-25",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-11",,,,,,,,"0.0",,,"2","-13",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-12",,,,,,,,"0.0",,,"25","-13",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-13",,,,,,,,"0.0",,,"12","6",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-14",,,,,,,,"0.0",,,"10","3",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-15",,,,,,,"0.04","0.5",,,"9","7",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-16",,,,,,,"0.14","2.0",,,"-18","-22",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-17",,,,,,,,"0.0",,,"4","-23",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-18",,,,,,,,"0.0",,,"-3","-12",,,,,,,,,,,,,,,,,,,,,
