"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WSF1","WSF2","WSF5"
"USW00026435","1916-12",,,,,,,"3",,,"26","0","0",,,"2.0",,"25",,,,"5.5",,"-11.9",,,,,,,,
"USW00026435","1917-01",,,,,,,"3","23","26","25","0","0","-52",,"5.0",,"44",,,,"9.5","-23.9","-16.1","-31.7",,,,,,,
"USW00026435","1917-02",,,"0",,,,"3","11","27","25","0","0","-28",,"3.0",,"42",,"1463",,"7.0","8.3","16.4","0.3",,,,,,,
"USW00026435","1917-03",,,"0",,,,"3","9","31","23","0","0","-26",,"2.5",,"46",,"1518",,"6.4","16.0","24.7","7.3",,,,,,,
"USW00026435","1917-04",,,"0","1","1",,"1","1","26","6","0","0","-11",,"5.0","0.50","58",,"946","0.50","5.0","30.5","42.2","18.9",,,,,,,
"USW00026435","1917-05",,,"0","0","0",,"0","0","12","0","4","0","18",,"0.0","0.00","75",,"610","0.00","0.0","45.3","55.0","35.6",,,,,,,
"USW00026435","1917-06",,,"0",,,,"0","0","0","0","9","0","36",,"0.0",,"76",,"257",,"0.0","56.4","66.4","46.4",,,,,,,
"USW00026435","1917-07",,,"2","23","12",,,"0","0","0","10","0","41",,,"1.28","78","273","273","5.57",,"56.3","64.1","48.4",,,,,,,
"USW00026435","1917-08",,,"4","7","5",,"0","0","0","0","12","0","41",,"0.0","1.00","79","472","199","1.96","0.0","58.7","68.4","49.0",,,,,,,
"USW00026435","1917-09",,,"0","6","2",,,"0","13","0","2","0","21",,,"0.18","76","1072","601","0.43",,"45.0","54.2","35.7",,,,,,,
"USW00026435","1917-10",,,"0","8","2",,"4","8","25","16","0","0","-10",,"1.5","0.15","61","2339","1267","0.56","6.5","24.1","32.0","16.2",,,,,,,
"USW00026435","1917-11",,,"0",,,,,"29","30","30","0","0","-49",,,,"6","4602","2263",,,"-10.4","-3.2","-17.7",,,,,,,
"USW00026435","1917-12",,,"0","1","1",,"0","31","31","31","0","0","-53",,"0.5","0.10","-2","7561","2959","0.10","0.5","-30.4","-22.5","-38.4",,,,,,,
"USW00026435","1918-01",,"0","0","2","1",,"1","28","31","31","0","0","-41",,"3.0","0.30","23","9926","2366","0.34","3.4","-11.3","-2.4","-20.2",,,,,,,
"USW00026435","1918-02",,"0","0","5","3",,"2","18","28","24","0","0","-46",,"4.0","0.41","42","11774","1847","0.89","8.1","-1.0","9.9","-11.9",,,,,,,
"USW00026435","1918-03",,"0","0","7","7",,"7","21","31","24","0","0","-49",,"9.0","0.77","40","13719","1946","2.85","30.9","0.7","15.5","-14.1",,,,,,,
"USW00026435","1918-04",,"0","0","11","6","30","4","5","30","8","0","0","-25","32","8.0","0.62","49","14951","1232","1.55","15.3","23.9","37.2","10.7",,,,,,,
"USW00026435","1918-05",,"0","0","4","3","15","2","0","16","0","0","0","19","20","4.0","0.38","69","15608","657","0.94","6.5","43.8","54.4","33.2",,,,,,,
"USW00026435","1918-06",,"1","1","5","5","0","0","0","0","0","14","0","36","0","0.0","0.30","84","15816","208","0.90","0.0","58.0","69.1","46.9",,,,,,,
"USW00026435","1918-07",,"108","106","5","5","0","0","0","0","0","27","4","45","0","0.0","0.20","94","56","56","0.70","0.0","66.6","79.1","54.2",,,,,,,
"USW00026435","1918-08",,"108","0","8","5","0","0","0","1","0","12","0","30","0","0.0","0.30","80","326","270","1.16","0.0","56.3","67.2","45.3",,,,,,,
"USW00026435","1918-09",,"108","0","7","0","0","0","0","5","0","3","0","25","0","0.0","0.09","75","787","461","0.31","0.0","49.6","59.7","39.6",,,,,,,
"USW00026435","1918-10",,"108","0","7","3","9","3","4","28","12","0","0","-8","2","2.0","0.33","52","2001","1214","0.77","7.0","25.8","33.0","18.7",,,,,,,
"USW00026435","1918-11",,"108","0","5","0","30","3","21","30","29","0","0","-38","5","1.0","0.07","40","3960","1959","0.27","4.0","-0.3","8.2","-8.8",,,,,,,
"USW00026435","1918-12",,"108","0","3","0","31","0","23","31","26","0","0","-51","7","0.8","0.08","37","6194","2234","0.21","2.3","-7.1","2.5","-16.7",,,,,,,
"USW00026435","1919-01",,"0","0","3","1","31","1","24","31","29","0","0","-55","9","1.0","0.14","32","8430","2235","0.17","1.1","-11.5","-3.0","-20.1",,,,,,,
"USW00026435","1919-02",,"0","0","0","0","28","0","25","28","28","0","0","-26","9","0.0","0.00","26","10164","1734","0.00","0.0","3.1","15.0","-8.8",,,,,,,
"USW00026435","1919-03",,"0","0","2","0","31","0","18","31","28","0","0","-24","9","0.2","0.02","38","11871","1707","0.03","0.3","9.9","21.5","-1.7",,,,,,,
"USW00026435","1919-04",,"0","0","0","0","5","0","0","29","3","0","0","5","5","0.0","0.00","55","12855","984","0.00","0.0","32.2","44.4","20.0",,,,,,,
